"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 11 21:00:47 GMT 2021","Mon Oct 11 21:01:14 GMT 2021","26981","","com.provectus.kafka.ui.topics.TopicTests","","com.provectus.kafka.ui.topics.TopicTests","updateTopic","should update a topic",""
"passed","Mon Oct 11 21:01:14 GMT 2021","Mon Oct 11 21:01:19 GMT 2021","4041","","com.provectus.kafka.ui.topics.TopicTests","","com.provectus.kafka.ui.topics.TopicTests","createTopic","should create a topic",""
"passed","Mon Oct 11 21:01:19 GMT 2021","Mon Oct 11 21:01:21 GMT 2021","1871","","com.provectus.kafka.ui.SmokeTests","","com.provectus.kafka.ui.SmokeTests","mainPageLoads","main page should load",""
"skipped","Mon Oct 11 21:00:47 GMT 2021","Mon Oct 11 21:00:47 GMT 2021","0","","com.provectus.kafka.ui.topics.TopicTests","","com.provectus.kafka.ui.topics.TopicTests","deleteTopic","should delete topic",""
